,V1,N05B
290,NA,0.044928536
291,NA,0.034999177
292,NA,0.021772481
293,NA,0.027867435
294,NA,0.027867435
295,NA,0.027867435
296,NA,0.027867435
297,NA,0.027867435
298,NA,0.027867435
299,NA,2.96E-06
300,NA,0.024452593
301,NA,0.048589191
302,NA,0.389930969
303,NA,0.594052938
304,NA,0.702083693
305,NA,0.656749754
306,NA,0.607501521
307,NA,0.35928657
308,NA,0.363878782
309,NA,0.306101579
310,NA,0.254336466
311,NA,0.259850848
312,NA,0.161741018
313,NA,0.035147398
314,NA,0.02713651
315,NA,0.021139249
316,NA,0.013150421
317,NA,0.049452861
318,NA,0.049452861
319,NA,0.049452861
320,NA,0.049452861
321,NA,0.049452861
322,NA,0.049452861
323,NA,5.25E-06
324,NA,0.043392967
325,NA,0.086225178
326,NA,0.691961862
327,NA,1.054191664
328,NA,1.245900372
329,NA,1.165451883
330,NA,1.078057187
331,NA,0.637581068
332,NA,0.645730294
333,NA,0.543200297
334,NA,0.451339207
335,NA,0.461124893
336,NA,0.287021614
337,NA,0.062371704
338,NA,0.048155781
339,NA,0.037513189
340,NA,0.023336412
341,NA,0.059691088
342,NA,0.059691088
343,NA,0.059691088
344,NA,0.059691088
345,NA,0.059691088
346,NA,0.059691088
347,NA,6.34E-06
348,NA,0.052376613
349,NA,0.104076378
350,NA,0.835218735
351,NA,1.272440977
352,NA,1.503839143
353,NA,1.406735402
354,NA,1.30124738
355,NA,0.769579485
356,NA,0.779415845
357,NA,0.655659061
358,NA,0.544779969
359,NA,0.556591586
360,NA,0.346443703
361,NA,0.075284518
362,NA,0.058125472
363,NA,0.045279545
364,NA,0.02816775
365,NA,0.065560628
366,NA,0.065560628
367,NA,0.065560628
368,NA,0.065560628
369,NA,0.065560628
370,NA,0.065560628
371,NA,6.96E-06
372,NA,0.057526907
373,NA,0.11431041
374,NA,0.917347415
375,NA,1.397562569
376,NA,1.651714566
377,NA,1.545062425
378,NA,1.429201562
379,NA,0.84525373
380,NA,0.856057319
381,NA,0.72013129
382,NA,0.598349241
383,NA,0.611322317
384,NA,0.380510185
385,NA,0.082687391
386,NA,0.063841063
387,NA,0.049731971
388,NA,0.030937539
389,NA,0.049172232
390,NA,0.049172232
391,NA,0.049172232
392,NA,0.049172232
393,NA,0.049172232
394,NA,0.049172232
395,NA,5.22E-06
396,NA,0.043146725
397,NA,0.085735878
398,NA,0.688035197
399,NA,1.048209459
400,NA,1.238830281
401,NA,1.158838312
402,NA,1.071939553
403,NA,0.633962997
404,NA,0.642065979
405,NA,0.540117807
406,NA,0.448778
407,NA,0.458508155
408,NA,0.285392857
409,NA,0.062017764
410,NA,0.047882512
411,NA,0.037300314
412,NA,0.023203985
413,NA,0.061740997
414,NA,0.061740997
415,NA,0.061740997
416,NA,0.061740997
417,NA,0.061740997
418,NA,0.061740997
419,NA,6.55E-06
420,NA,0.054175329
421,NA,0.107650565
422,NA,0.863901788
423,NA,1.316139102
424,NA,1.555483935
425,NA,1.455045461
426,NA,1.345934773
427,NA,0.796008358
428,NA,0.806182518
429,NA,0.678175683
430,NA,0.563488784
431,NA,0.575706035
432,NA,0.358341261
433,NA,0.077869937
434,NA,0.060121615
435,NA,0.046834534
436,NA,0.029135086
437,NA,0.044940367
438,NA,0.044940367
439,NA,0.044940367
440,NA,0.044940367
441,NA,0.044940367
442,NA,0.044940367
443,NA,4.77E-06
444,NA,0.039433428
445,NA,0.078357269
446,NA,0.628821449
447,NA,0.957998361
448,NA,1.132213957
449,NA,1.059106264
450,NA,0.979686194
451,NA,0.579402816
452,NA,0.586808438
453,NA,0.493634139
454,NA,0.410155227
455,NA,0.419047985
456,NA,0.260831351
457,NA,0.056680385
458,NA,0.043761643
459,NA,0.034090171
460,NA,0.021207002
461,NA,0.027143656
462,NA,0.027143656
463,NA,0.027143656
464,NA,0.027143656
465,NA,0.027143656
466,NA,0.027143656
467,NA,2.88E-06
468,NA,0.023817505
469,NA,0.047327222
470,NA,0.379803598
471,NA,0.578624068
472,NA,0.683849025
473,NA,0.639692508
474,NA,0.591723362
475,NA,0.349955102
476,NA,0.354428044
477,NA,0.298151443
478,NA,0.247730785
479,NA,0.253101946
480,NA,0.157540246
481,NA,0.034234542
482,NA,0.026431715
483,NA,0.020590216
484,NA,0.012808875
485,NA,0.053382925
486,NA,0.053382925
487,NA,0.053382925
488,NA,0.053382925
489,NA,0.053382925
490,NA,0.053382925
491,NA,5.67E-06
492,NA,0.046841445
493,NA,0.093077571
494,NA,0.746952694
495,NA,1.137969225
496,NA,1.344913197
497,NA,1.258071394
498,NA,1.163731362
499,NA,0.68825021
500,NA,0.697047062
501,NA,0.586368914
502,NA,0.487207541
503,NA,0.497770904
504,NA,0.30983148
505,NA,0.067328439
506,NA,0.051982764
507,NA,0.040494396
508,NA,0.025190978
509,NA,0.064434792
510,NA,0.064434792
511,NA,0.064434792
512,NA,0.064434792
513,NA,0.064434792
514,NA,0.064434792
515,NA,6.84E-06
516,NA,0.05653903
517,NA,0.112347421
518,NA,0.90159432
519,NA,1.373563008
520,NA,1.623350594
521,NA,1.518529931
522,NA,1.404658682
523,NA,0.83073866
524,NA,0.841356725
525,NA,0.707764878
526,NA,0.588074124
527,NA,0.600824421
528,NA,0.373975896
529,NA,0.081267447
530,NA,0.062744756
531,NA,0.048877951
532,NA,0.030406266
533,NA,0.07077079
534,NA,0.07077079
535,NA,0.07077079
536,NA,0.07077079
537,NA,0.07077079
538,NA,0.07077079
539,NA,7.51E-06
540,NA,0.062098622
541,NA,0.123394762
542,NA,0.99024984
543,NA,1.508628126
544,NA,1.78297781
545,NA,1.667849928
546,NA,1.542781497
547,NA,0.912426805
548,NA,0.924088965
549,NA,0.777360772
550,NA,0.645900595
551,NA,0.659904653
552,NA,0.410749672
553,NA,0.089258633
554,NA,0.06891457
555,NA,0.053684215
556,NA,0.033396174
557,NA,0.053079993
558,NA,0.053079993
559,NA,0.053079993
560,NA,0.053079993
561,NA,0.053079993
562,NA,0.053079993
563,NA,5.63E-06
564,NA,0.046575634
565,NA,0.092549385
566,NA,0.742713973
567,NA,1.131511609
568,NA,1.33728124
569,NA,1.250932236
570,NA,1.157127555
571,NA,0.684344607
572,NA,0.69309154
573,NA,0.583041455
574,NA,0.484442792
575,NA,0.494946211
576,NA,0.308073285
577,NA,0.066946371
578,NA,0.051687778
579,NA,0.040264603
580,NA,0.025048027
581,NA,0.06664761
582,NA,0.06664761
583,NA,0.06664761
584,NA,0.06664761
585,NA,0.06664761
586,NA,0.06664761
587,NA,7.07E-06
588,NA,0.058480691
589,NA,0.116205653
590,NA,0.932556841
591,NA,1.420733862
592,NA,1.679099645
593,NA,1.570679235
594,NA,1.452897422
595,NA,0.859267859
596,NA,0.870250569
597,NA,0.732070915
598,NA,0.608269746
599,NA,0.621457913
600,NA,0.386818963
601,NA,0.084058331
602,NA,0.064899534
603,NA,0.050556516
604,NA,0.031450477
605,NA,0.048511818
606,NA,0.048511818
607,NA,0.048511818
608,NA,0.048511818
609,NA,0.048511818
610,NA,0.048511818
611,NA,5.15E-06
612,NA,0.042567238
613,NA,0.084584391
614,NA,0.678794456
615,NA,1.034131354
616,NA,1.22219202
617,NA,1.143274393
618,NA,1.057542738
619,NA,0.62544848
620,NA,0.633442633
621,NA,0.532863689
622,NA,0.442750632
623,NA,0.452350106
624,NA,0.281559854
625,NA,0.061184827
626,NA,0.04723942
627,NA,0.036799347
628,NA,0.022892341
629,NA,0.029300787
630,NA,0.029300787
631,NA,0.029300787
632,NA,0.029300787
633,NA,0.029300787
634,NA,0.029300787
635,NA,3.11E-06
636,NA,0.025710303
637,NA,0.051088359
638,NA,0.409986932
639,NA,0.624607844
640,NA,0.738195123
641,NA,0.690529448
642,NA,0.63874815
643,NA,0.377766349
644,NA,0.38259476
645,NA,0.321845806
646,NA,0.267418173
647,NA,0.273216186
648,NA,0.170060111
649,NA,0.036955192
650,NA,0.028532267
651,NA,0.022226539
652,NA,0.013826808
653,NA,0.055509478
654,NA,0.055509478
655,NA,0.055509478
656,NA,0.055509478
657,NA,0.055509478
658,NA,0.055509478
659,NA,5.89E-06
660,NA,0.048707413
661,NA,0.096785394
662,NA,0.776708185
663,NA,1.183301189
664,NA,1.398488949
665,NA,1.30818773
666,NA,1.210089583
667,NA,0.715667238
668,NA,0.72481452
669,NA,0.609727414
670,NA,0.506615864
671,NA,0.517600028
672,NA,0.322173879
673,NA,0.070010524
674,NA,0.054053541
675,NA,0.042107524
676,NA,0.026194482
677,NA,0.067001606
678,NA,0.067001606
679,NA,0.067001606
680,NA,0.067001606
681,NA,0.067001606
682,NA,0.067001606
683,NA,7.11E-06
684,NA,0.05879131
685,NA,0.116822876
686,NA,0.93751009
687,NA,1.42828005
688,NA,1.688018135
689,NA,1.579021853
690,NA,1.460614446
691,NA,0.863831836
692,NA,0.87487288
693,NA,0.735959289
694,NA,0.611500553
695,NA,0.624758769
696,NA,0.388873541
697,NA,0.084504804
698,NA,0.065244246
699,NA,0.050825046
700,NA,0.031617526
701,NA,0.073590004
702,NA,0.073590004
703,NA,0.073590004
704,NA,0.073590004
705,NA,0.073590004
706,NA,0.073590004
707,NA,7.81E-06
708,NA,0.064572373
709,NA,0.128310296
710,NA,1.029697278
711,NA,1.5687256
712,NA,1.854004236
713,NA,1.734290137
714,NA,1.6042395
715,NA,0.948774097
716,NA,0.960900829
717,NA,0.808327595
718,NA,0.67163059
719,NA,0.686192511
720,NA,0.427112232
721,NA,0.092814326
722,NA,0.07165984
723,NA,0.055822771
724,NA,0.034726538
725,NA,0.05519448
726,NA,0.05519448
727,NA,0.05519448
728,NA,0.05519448
729,NA,0.05519448
730,NA,0.05519448
731,NA,5.86E-06
732,NA,0.048431014
733,NA,0.096236168
734,NA,0.772300611
735,NA,1.176586329
736,NA,1.390552966
737,NA,1.300764178
738,NA,1.203222707
739,NA,0.711606052
740,NA,0.720701427
741,NA,0.606267404
742,NA,0.503740979
743,NA,0.514662811
744,NA,0.320345644
745,NA,0.069613237
746,NA,0.053746804
747,NA,0.041868578
748,NA,0.026045836
749,NA,0.069302573
750,NA,0.069302573
751,NA,0.069302573
752,NA,0.069302573
753,NA,0.069302573
754,NA,0.069302573
755,NA,7.36E-06
756,NA,0.060810319
757,NA,0.120834803
758,NA,0.96970603
759,NA,1.477329994
760,NA,1.745987996
761,NA,1.633248567
762,NA,1.510774817
763,NA,0.893497519
764,NA,0.904917735
765,NA,0.761233578
766,NA,0.632500684
767,NA,0.646214213
