"","V1","M01AE"
"1",NA,0.0690699841036115
"2",NA,0.0544352075633832
"3",NA,0.0466893774234204
"4",NA,0.0542224269947719
"5",NA,0.0526161423684378
"6",NA,0.0526161423684378
"7",NA,0.0526161423684378
"8",NA,0.0526161423684378
"9",NA,0.0526161423684378
"10",NA,0.0526161423684378
"11",NA,0.0229832152389276
"12",NA,0.0489143968150499
"13",NA,0.0646540097387824
"14",NA,0.273041496310012
"15",NA,0.246825808885926
"16",NA,0.270540145600429
"17",NA,0.263842727519383
"18",NA,0.2362730813212
"19",NA,0.251854897731739
"20",NA,0.218579720764423
"21",NA,0.254197994343591
"22",NA,0.243113447872438
"23",NA,0.235710639324635
"24",NA,0.234404922465165
"25",NA,0.0670238555963525
"26",NA,0.0528226195276466
"27",NA,0.0453062517810441
"28",NA,0.0526161423684378
"29",NA,0.0568604120947626
"30",NA,0.0568604120947626
"31",NA,0.0568604120947626
"32",NA,0.0568604120947626
"33",NA,0.0568604120947626
"34",NA,0.0568604120947626
"35",NA,0.0248371513175007
"36",NA,0.0528600660381909
"37",NA,0.0698693114288665
"38",NA,0.295066329463006
"39",NA,0.266735959291756
"40",NA,0.292363207840282
"41",NA,0.285125543980538
"42",NA,0.255331998243976
"43",NA,0.272170718499904
"44",NA,0.236211406590662
"45",NA,0.274702820492384
"46",NA,0.262724141481295
"47",NA,0.254724186985596
"48",NA,0.253313144758505
"49",NA,0.0724303203891763
"50",NA,0.0570835446892914
"51",NA,0.0489608707666214
"52",NA,0.0568604120947626
"53",NA,0.0547163762958263
"54",NA,0.0547163762958263
"55",NA,0.0547163762958263
"56",NA,0.0547163762958263
"57",NA,0.0547163762958263
"58",NA,0.0547163762958263
"59",NA,0.023900616747903
"60",NA,0.0508668713049003
"61",NA,0.0672347490078124
"62",NA,0.283940262132099
"63",NA,0.256678145348515
"64",NA,0.281339067127817
"65",NA,0.274374313889791
"66",NA,0.245704193508114
"67",NA,0.261907976068255
"68",NA,0.227304582085003
"69",NA,0.264344600080213
"70",NA,0.252817601169172
"71",NA,0.24511930099142
"72",NA,0.243761464939543
"73",NA,0.0696991899924424
"74",NA,0.0549310952286712
"75",NA,0.0471147030058992
"76",NA,0.0547163762958263
"77",NA,0.0538982585500716
"78",NA,0.0538982585500716
"79",NA,0.0538982585500716
"80",NA,0.0538982585500716
"81",NA,0.0538982585500716
"82",NA,0.0538982585500716
