"","V1","N02BE"
"1",NA,4.85163725509389
"2",NA,1.85649201524291
"3",NA,0.0623986860795759
"4",NA,0.0844624878187063
"5",NA,0.0470612888290188
"6",NA,0.0470612888290188
"7",NA,0.0470612888290188
"8",NA,0.0470612888290188
"9",NA,0.0470612888290188
"10",NA,0.0470612888290188
"11",NA,3.66561902410804e-08
"12",NA,0.0379496037171543
"13",NA,0.0471396294291464
"14",NA,0.696751520557729
"15",NA,0.738262251416053
"16",NA,2.68562662537185
"17",NA,2.47519158209784
"18",NA,1.14285517187713
"19",NA,1.34347612931383
"20",NA,1.38174065570116
"21",NA,1.1430376907462
"22",NA,1.2563948496098
"23",NA,6.87228551737482
"24",NA,0.728348642784644
"25",NA,2.70326280994334
"26",NA,1.03441076854906
"27",NA,0.0347676544224621
"28",NA,0.0470612888290188
"29",NA,0.0857764165522038
"30",NA,0.0857764165522038
"31",NA,0.0857764165522038
"32",NA,0.0857764165522038
"33",NA,0.0857764165522038
"34",NA,0.0857764165522038
"35",NA,6.68115285741378e-08
"36",NA,0.0691689730015742
"37",NA,0.0859192043108202
"38",NA,1.26993650509395
"39",NA,1.34559617847065
"40",NA,4.89496641195979
"41",NA,4.51141627174512
"42",NA,2.08302882732201
"43",NA,2.44869129093863
"44",NA,2.51843425880542
"45",NA,2.0833614959533
"46",NA,2.28997230326003
"47",NA,12.5257943390734
"48",NA,1.32752710631683
"49",NA,4.92711106315478
"50",NA,1.88537227043468
"51",NA,0.0633693824051261
"52",NA,0.0857764165522038
"53",NA,0.0812586335217673
"54",NA,0.0812586335217673
"55",NA,0.0812586335217673
"56",NA,0.0812586335217673
"57",NA,0.0812586335217673
"58",NA,0.0812586335217673
"59",NA,6.32926127443297e-08
"60",NA,0.0655258922455829
"61",NA,0.0813939007503971
"62",NA,1.20304984996126
"63",NA,1.27472458199617
"64",NA,4.63715200236564
"65",NA,4.27380317603693
"66",NA,1.97331717619168
"67",NA,2.3197204571635
"68",NA,2.38579011237181
"69",NA,1.97363232340207
"70",NA,2.16936108600848
"71",NA,11.8660696340507
"72",NA,1.25760719505879
"73",NA,4.66760361757795
"74",NA,1.7860710499851
"75",NA,0.0600317619730009
"76",NA,0.0812586335217673
"77",NA,0.0632152536652924
"78",NA,0.0632152536652924
"79",NA,0.0632152536652924
"80",NA,0.0632152536652924
"81",NA,0.0632152536652924
"82",NA,0.0632152536652924
"83",NA,4.92385657543716e-08
"84",NA,0.0509759482829542
"85",NA,0.0633204849717989
"86",NA,0.93591410710741
"87",NA,0.991673552850055
"88",NA,3.60747809075004
"89",NA,3.32481042542186
"90",NA,1.53514451878667
"91",NA,1.80462937630962
"92",NA,1.8560283456567
"93",NA,1.53538968794573
"94",NA,1.68765711900514
"95",NA,9.23122343333031
"96",NA,0.978357060676417
"97",NA,3.63116796217335
"98",NA,1.38947616512402
"99",NA,0.0467017828952431
"100",NA,0.0632152536652924
"101",NA,0.214270494284208
"102",NA,0.214270494284208
"103",NA,0.214270494284208
"104",NA,0.214270494284208
"105",NA,0.214270494284208
"106",NA,0.214270494284208
"107",NA,1.66895981749848e-07
"108",NA,0.172784905570849
"109",NA,0.214627179779432
"110",NA,3.17231627985337
"111",NA,3.36131503106537
