"","V1","M01AB","M01AE","N02BA","N02BE","N05B","N05C","R03","R06"
"4395",NA,0.0528149981490895,0.0223487152208714,0.000284584556127727,0.146320561581174,0.0325066438824651,0.0139578377704156,0.061668716687827,0.0403440684117204
"4396",NA,0.083111709623522,0.0365415281697263,0.0106839890774741,0.468227927369941,-0.0214899390676036,0.0139640593193326,0.119062961212916,0.175573081819521
"4397",NA,0.0826047167300012,0.0384980994902107,0.0217597155900466,0.46666560126926,0.0655050100193758,0.0126223214392871,0.123733070113189,0.173776921372481
"4398",NA,0.0825572062646134,0.0384652151042123,0.0217162729422782,0.466594378152209,0.0660486954439898,0.0126281609946353,0.123761474246098,0.17375083666717
"4399",NA,0.0825985886164965,0.0384586171921762,0.0215991509813746,0.467086898702047,0.0663696848778521,0.0126380493242496,0.123876444338048,0.173722200354015
"4400",NA,0.082656582547978,0.0385101600130715,0.0214471068503108,0.467497158196243,0.0664647580263581,0.0126444004887689,0.123979050812067,0.173735738273362
"4401",NA,0.0827642303363375,0.0385818453325566,0.021349240287525,0.466432712484903,0.0664288555726229,0.0126472088268224,0.124006551195868,0.173751827800554
"4402",NA,0.0827333125347864,0.0386513326432939,0.0212578360515271,0.465020854922107,0.0664442358451135,0.0126458694655979,0.124116783826743,0.173722890247983
"4403",NA,92.9503714076699,2.54393395865154,2.39772038625743,-48.8199993676972,3.80621681829583,-0.657763908605024,25.1333785836485,-0.819274711359245
"4404",NA,0.0547793570089153,0.0395254530032172,0.0294104360133812,0.235326016690279,0.0482169687773244,0.0153900443757822,0.0759749584002215,0.0570223125885048
"4405",NA,0.0708769737357094,0.0465036685569881,0.0445627816514838,0.333510203119929,0.0985663819144582,0.0125778327728228,0.134980661172633,0.0364699144829254
"4406",NA,0.375841100733217,0.285689032332605,0.259753967308384,1.5857850533694,0.696702181016919,0.0603331431004526,0.567945863380084,0.165558537702643
"4407",NA,0.3805749116291,0.270210033168433,0.257886377064426,1.7409951278462,0.718342200744362,0.0633613702425178,0.546624526034417,0.275350166234934
"4408",NA,0.399664022299179,0.318569532084233,0.278513526671776,1.8021759338201,0.763627024556652,0.0501585175831689,0.641194225840577,0.180521204097805
"4409",NA,0.337380017214524,0.261943813353057,0.200356880603192,1.61106532786871,0.705192288277877,0.0692987602988562,0.535968045755158,0.128683793954834
