"","V1","M01AB"
"1",NA,0.050679845669567
"2",NA,0.0457760325634422
"3",NA,0.0332421342324956
"4",NA,0.052908695227487
"5",NA,0.0519474403176932
"6",NA,0.0519474403176932
"7",NA,0.0519474403176932
"8",NA,0.0519474403176932
"9",NA,0.0519474403176932
"10",NA,0.0519474403176932
"11",NA,0.000240325423224471
"12",NA,0.0361470931467113
"13",NA,0.0449269132482931
"14",NA,0.514607704761425
"15",NA,0.507031361639103
"16",NA,0.567495578466267
"17",NA,0.485212701127691
"18",NA,0.458101662949715
"19",NA,0.592414339922797
"20",NA,0.43101459491241
"21",NA,0.362108490951128
"22",NA,0.494227925623737
"23",NA,0.536008837717965
"24",NA,0.255134476479323
"25",NA,0.0497590849086373
"26",NA,0.0449443651812985
"27",NA,0.0326381850213949
"28",NA,0.0519474403176932
"29",NA,0.0507728368822787
"30",NA,0.0507728368822787
"31",NA,0.0507728368822787
"32",NA,0.0507728368822787
"33",NA,0.0507728368822787
"34",NA,0.0507728368822787
"35",NA,0.000234891333190187
"36",NA,0.0353297574025299
"37",NA,0.0439110536347821
"38",NA,0.502971713185962
"39",NA,0.495566681654835
"40",NA,0.554663718956492
"41",NA,0.474241371218732
"42",NA,0.447743351091054
"43",NA,0.579019032769903
"44",NA,0.421268759106031
"45",NA,0.353920717408047
"46",NA,0.483052749026677
"47",NA,0.52388893694238
"48",NA,0.249365533279571
"49",NA,0.0486339632141067
"50",NA,0.0439281109554575
"51",NA,0.0319001905404856
"52",NA,0.0507728368822787
"53",NA,0.0499596971079425
"54",NA,0.0499596971079425
"55",NA,0.0499596971079425
"56",NA,0.0499596971079425
"57",NA,0.0499596971079425
"58",NA,0.0499596971079425
"59",NA,0.000231129489310818
"60",NA,0.0347639424367786
"61",NA,0.0432078070479065
"62",NA,0.494916494481012
"63",NA,0.487630056395473
"64",NA,0.545780639755886
"65",NA,0.466646276178686
"66",NA,0.440572628519242
"67",NA,0.569745897082517
"68",NA,0.414522033794845
"69",NA,0.348252587952265
"70",NA,0.475316537551105
"71",NA,0.515498723629103
"72",NA,0.245371881439152
"73",NA,0.0478550780404323
"74",NA,0.0432245911912939
"75",NA,0.0313893009520721
"76",NA,0.0499596971079425
"77",NA,0.0495810128699112
"78",NA,0.0495810128699112
"79",NA,0.0495810128699112
"80",NA,0.0495810128699112
"81",NA,0.0495810128699112
"82",NA,0.0495810128699112
"83",NA,0.000229377575275849
"84",NA,0.0345004388966312
"85",NA,0.0428803007491076
"86",NA,0.49116512915154
"87",NA,0.483933920769425
"88",NA,0.54164373465713
"89",NA,0.463109193294795
"90",NA,0.437233178526826
